Year,Month,Measurement Index,0,10,100,1100,150,20,200,300,400,5,50,500,700,900
1993,12,16,-9.87913,,-3.5718,-4.43445,,,-1.06799,-1.74114,,,,-2.90277,-3.65973,
1993,12,17,-11.0161,,-3.62938,-4.39615,,,-1.12634,-1.74114,,,,-2.90277,-3.65973,
1993,12,18,-10.8217,,-3.82123,-4.4153,,,-1.24297,-1.74114,,,,-2.88345,-3.65973,
1993,12,19,-12.7256,,-3.99379,-4.39615,,,-1.35954,-1.74114,,,,-2.90277,-3.65973,
1993,12,20,-14.3434,,-3.97463,-4.39615,,,-1.49544,-1.76054,,,,-2.88345,-3.64047,
1993,12,21,-14.25,,-4.60675,-4.39615,,,-1.59246,-1.76054,,,,-2.84479,-3.62121,
1993,12,22,-13.3937,,-4.95122,-4.39615,,,-1.72821,-1.79933,,,,-2.88345,-3.64047,
1993,12,23,-19.4337,,-5.23813,-4.39615,,,-1.86386,-1.79933,,,,-2.82546,-3.62121,
1993,12,24,-23.8939,,-5.73527,-4.39615,,,-1.99944,-1.81873,,,,-2.82546,-3.60195,
1993,12,25,-25.4657,,-6.44267,-4.35785,,,-2.1543,-1.81873,,,,-2.82546,-3.56342,
1993,12,26,-25.053,,-7.26525,-4.377,,,-2.34772,-1.87691,,,,-2.82546,-3.54415,
1993,12,27,-24.5962,,-8.03156,-4.3387,,,-2.56033,-1.93507,,,,-2.80613,-3.54415,
1993,12,28,-26.4957,,-8.64583,-4.31955,,,-2.77277,-1.91569,,,,-2.74813,-3.50562,
1993,12,29,-25.081,,-9.22306,-4.3004,,,-3.04294,-1.95446,,,,-2.74813,-3.50562,
1993,12,30,-24.0174,,-9.76319,-4.28124,,,-3.35145,-2.03198,,,,-2.74813,-3.50562,
1994,1,0,-24.1641,,-10.1887,-4.28124,,,-3.69825,-2.14823,,,,-2.76747,-3.48635,
1994,1,1,-25.9705,,-10.4601,-4.24292,,,-3.9678,-2.18696,,,,-2.70946,-3.42854,
1994,1,2,-25.7571,,-10.8681,-4.20461,,,-4.27573,-2.26443,,,,-2.67078,-3.39,
1994,1,3,-23.8661,,-11.2578,-4.24292,,,-4.60278,-2.39994,,,,-2.70946,-3.42854,
1994,1,4,-23.3498,,-11.59,-4.24292,,,-4.92974,-2.53539,,,,-2.70946,-3.42854,
1994,1,5,-16.4115,,-11.8446,-4.31955,,,-5.31436,-2.74813,,,,-2.80613,-3.50562,
1994,1,6,-14.6717,,-11.6878,-4.31955,,,-5.62209,-2.94142,,,,-2.82546,-3.50562,
1994,1,7,-16.2507,,-11.2578,-4.31955,,,-5.87216,-3.05735,,,,-2.82546,-3.50562,
1994,1,8,-15.7056,,-11.0044,-4.31955,,,-6.0838,-3.21188,,,,-2.82546,-3.48635,
1994,1,9,-17.3231,,-10.8681,-4.31955,,,-6.23775,-3.40497,,,,-2.82546,-3.46708,
1994,1,10,-18.2156,,-10.8486,-4.3004,,,-6.3725,-3.55939,,,,-2.84479,-3.48635,
1994,1,11,-20.8493,,-10.9459,-4.28124,,,-6.48801,-3.71377,,,,-2.86412,-3.46708,
1994,1,12,-22.8586,,-11.1213,-4.24292,,,-6.5843,-3.82953,,,,-2.86412,-3.42854,
1994,1,13,-23.2581,,-11.4922,-4.24292,,,-6.69987,-3.96457,,,,-2.90277,-3.42854,
1994,1,14,-26.0427,,-11.8054,-4.16629,,,-6.81547,-4.06102,,,,-2.86412,-3.39,
1994,1,15,-24.5479,,-12.2572,-4.16629,,,-6.95038,-4.17674,,,,-2.90277,-3.35146,
1994,1,16,-25.7366,,-12.6515,-4.12796,,,-7.12389,-4.29245,,,,-2.90277,-3.35146,
1994,1,17,-28.2613,,-12.9879,-4.16629,,,-7.33608,-4.40815,,,,-2.94142,-3.35146,
1994,1,18,-27.5322,,-13.5049,-4.16629,,,-7.56773,-4.56241,,,,-2.98007,-3.35146,
1994,1,19,-27.589,,-13.9245,-4.12796,,,-7.78023,-4.6781,,,,-2.99939,-3.31291,
1994,1,20,-26.7116,,-14.3261,-4.12796,,,-8.03158,-4.83235,,,,-3.03803,-3.33219,
